id,longitude,latitude,pop
c_ll_ki_0090,50.396389,59.814722,wel
c_ll_ki_0091,50.396389,59.814722,wel
c_ll_ki_0092,50.396389,59.814722,wel
c_ll_ki_0093,50.396389,59.814722,wel
c_ll_ki_0094,50.396389,59.814722,wel
c_ll_ki_0095,48.416389,60.812222,wel
c_ll_ki_0096,48.416389,60.812222,wel
c_ll_ki_0097,48.416389,60.812222,wel
c_ll_ki_0098,48.416389,60.812222,wel
c_ll_ki_0099,48.416389,60.812222,wel
c_ll_ki_0100,46.727222,61.193889,wel
c_ll_ki_0101,46.727222,61.193889,wel
c_ll_ki_0102,46.727222,61.193889,wel
c_ll_vl_0107,136.472696,44.93568,eel
c_ll_vl_0108,135.579186,45.293845,eel
c_ll_vl_0109,136.731321,45.66666,eel
c_ll_vl_0110,132.914094,49.0148043,eel
c_ll_vl_0112,137.00929,45.85722,eel
c_ll_vl_0113,137.00929,45.85722,eel
c_ll_vl_0114,137.60663,47.29447,eel
c_ll_vl_0128,137.43079,45.90753,eel
c_ll_vl_0132,137.43079,45.90753,eel
c_ll_vl_0137,133.4556,51.39103,eel
c_ll_ya_0138,132.069439,59.901031,eel
c_ll_ya_0139,129.204911,61.189231,eel
c_ll_ya_0140,129.161764,61.159361,eel
c_ll_ya_0141,136.176853,66.888081,eel
c_ll_ya_0142,136.176853,66.888081,eel
c_ll_ya_0143,136.176853,66.888081,eel
c_ll_ya_0145,129.445342,61.893289,eel
c_ll_ya_0146,130.679083,60.776225,eel
c_ll_ya_0147,127.304483,60.751539,eel
c_ll_ur_0194,59.6425,56.048056,wel
c_ll_ur_0195,60.130556,55.149444,wel
c_ll_ur_0196,60.130556,55.149444,wel
c_ll_ur_0199,59.788611,55.181667,wel
c_ll_ur_0200,59.000556,55.000556,wel
c_ll_ur_0202,60.892222,54.38,wel
c_ll_ur_0203,57.3625,54.999444,wel
c_ll_ca_0240,42.492144,41.45594,sel
c_ll_ca_0241,46.377166,41.871802,sel
c_ll_ca_0242,44.92736,40.034741,sel
c_ll_ca_0243,47.837101,41.572005,sel
c_ll_ca_0244,47.893783,41.733164,sel
c_ll_ca_0245,46.672318,42.394226,sel
c_ll_ca_0247,44.349159,41.688825,sel
c_ll_ca_0248,42.808804,43.039511,sel
c_ll_ca_0252,43.25023056,43.19688333,sel
c_ll_ca_0254,42.056153,41.57158,sel
c_ll_ca_0259,46.386423,42.691718,sel
c_ll_ca_0260,46.446779,42.102082,sel
c_lp_sm_all,-4.056015053316565,38.36292593580213,lpa